time, price
2018-03-13 10:00:00,1.3
2018-03-13 11:00:00,1.28
2018-03-13 12:00:00,1.28
2018-03-13 13:00:00,1.27
2018-03-13 14:00:00,1.36
2018-03-13 15:00:00,1.24
2018-03-13 16:00:00,1.36
2018-03-13 17:00:00,1.44
2018-03-13 18:00:00,1.44
2018-03-13 19:00:00,1.44
2018-03-13 20:00:00,1.44
2018-03-13 21:00:00,1.42
2018-03-13 22:00:00,1.43
2018-03-13 23:00:00,1.38
2018-03-14 00:00:00,1.38
2018-03-14 01:00:00,1.38
2018-03-14 02:00:00,1.38
2018-03-14 03:00:00,1.35
2018-03-14 04:00:00,1.29
2018-03-14 05:00:00,1.26
2018-03-14 06:00:00,1.2
2018-03-14 07:00:00,1.21
2018-03-14 08:00:00,1.22
2018-03-14 09:00:00,1.18
2018-03-14 10:00:00,1.16
2018-03-14 11:00:00,1.17
2018-03-14 12:00:00,1.16
2018-03-14 13:00:00,1.15
2018-03-14 14:00:00,1.1
2018-03-14 15:00:00,1.11
2018-03-14 16:00:00,1.13
2018-03-14 17:00:00,1.09
2018-03-14 18:00:00,1.18
2018-03-14 19:00:00,1.1
2018-03-14 20:00:00,1.13
2018-03-14 21:00:00,1.16
2018-03-14 22:00:00,1.1
2018-03-14 23:00:00,1.1
2018-03-15 00:00:00,1.12
2018-03-15 01:00:00,1.18
2018-03-15 02:00:00,1.16
2018-03-15 03:00:00,1.15
2018-03-15 04:00:00,1.14
2018-03-15 05:00:00,1.13
2018-03-15 06:00:00,1.21
2018-03-15 07:00:00,1.13
2018-03-15 08:00:00,1.17
2018-03-15 09:00:00,1.19
2018-03-15 10:00:00,1.11
2018-03-15 11:00:00,1.15
2018-03-15 12:00:00,1.24
2018-03-15 13:00:00,1.25
2018-03-15 14:00:00,1.2
2018-03-15 15:00:00,1.2
2018-03-15 16:00:00,1.23
2018-03-15 17:00:00,1.2
2018-03-15 18:00:00,1.26
2018-03-15 19:00:00,1.28
2018-03-15 20:00:00,1.15
2018-03-15 21:00:00,1.12
2018-03-15 22:00:00,1.12
2018-03-15 23:00:00,1.12
2018-03-16 00:00:00,1.13
2018-03-16 01:00:00,1.12
2018-03-16 02:00:00,1.24
2018-03-16 03:00:00,1.24
2018-03-16 04:00:00,1.17
2018-03-16 05:00:00,1.24
2018-03-16 06:00:00,1.21
2018-03-16 07:00:00,1.27
2018-03-16 08:00:00,1.28
2018-03-16 09:00:00,1.28
2018-03-16 10:00:00,1.4
2018-03-16 11:00:00,1.4
2018-03-16 12:00:00,1.4
2018-03-16 13:00:00,1.38
2018-03-16 14:00:00,1.25
2018-03-16 15:00:00,1.39
2018-03-16 16:00:00,1.29
2018-03-16 17:00:00,1.29
2018-03-16 18:00:00,1.28
2018-03-16 19:00:00,1.29
2018-03-16 20:00:00,1.29
2018-03-16 21:00:00,1.01
2018-03-16 22:00:00,1.2
2018-03-16 23:00:00,1.31
2018-03-17 00:00:00,1.26
2018-03-17 01:00:00,1.28
2018-03-17 02:00:00,1.19
2018-03-17 03:00:00,1.27
2018-03-17 04:00:00,1.31
2018-03-17 05:00:00,1.28
2018-03-17 06:00:00,1.19
2018-03-17 07:00:00,1.18
2018-03-17 08:00:00,1.16
